,Player,Pos,Age,Tm,G,TOT_MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
116,Tyson Chandler,C,37.0,HOU,26.0,219,10.8,.717,.000,.722,11.9,19.8,15.8,3.5,1.3,3.1,25.2,6.0,0.3,0.3,0.6,.130,-2.5,1.1,-1.4,0.0
117,Wilson Chandler,SF,32.0,BRK,35.0,734,7.4,.531,.661,.126,1.6,18.3,10.2,7.4,1.0,1.4,15.0,13.0,-0.1,0.9,0.8,.050,-3.9,1.0,-2.9,-0.2
118,Joe Chealey,PG,24.0,CHO,4.0,33,-2.8,.127,.571,.286,0.0,0.0,0.0,3.9,6.1,0.0,20.2,13.2,-0.2,0.0,-0.1,-0.189,-14.3,1.7,-12.6,-0.1
119,Zylan Cheatham,SF,24.0,NOP,3.0,31,0.1,.400,.200,.000,3.4,17.1,10.2,7.9,0.0,2.7,37.5,10.5,-0.1,0.0,-0.1,-0.080,-10.2,0.1,-10.2,-0.1
120,Chris Chiozza,PG,24.0,TOT,21.0,249,12.9,.526,.519,.025,2.5,12.5,7.4,26.7,2.8,0.7,17.5,16.2,0.1,0.3,0.4,.077,-0.8,1.6,0.8,0.2
121,Chris Chiozza,PG,24.0,WAS,10.0,123,9.2,.397,.471,.000,0.0,13.9,6.7,28.9,3.8,1.4,20.9,14.5,-0.1,0.1,0.0,-0.002,-3.6,2.1,-1.4,0.0
122,Chris Chiozza,PG,24.0,BRK,11.0,126,16.5,.621,.556,.044,5.0,11.2,8.2,24.5,1.9,0.0,14.8,17.9,0.3,0.1,0.4,.154,1.8,1.1,3.0,0.2
123,Marquese Chriss,PF,22.0,GSW,59.0,1196,19.4,.604,.101,.405,10.0,23.6,16.5,15.3,1.6,4.7,14.7,19.0,2.1,1.3,3.4,.136,0.1,0.5,0.6,0.8
124,Gary Clark,PF,25.0,TOT,35.0,425,10.3,.534,.851,.089,6.6,14.8,10.6,4.7,0.6,2.9,4.5,10.9,0.5,0.4,0.9,.098,-1.1,-1.1,-2.2,0.0
125,Gary Clark,PF,25.0,HOU,18.0,212,11.9,.564,.864,.119,5.4,14.4,9.9,7.6,0.4,2.8,3.1,12.5,0.4,0.2,0.6,.126,0.4,-0.9,-0.5,0.1
